38074,163384,Alan & Kasia,Pankow,Prenzlauer Berg Süd,52.536800,13.425467,Entire home/apt,80.00,84,102,10,221
68448,163384,Alan & Kasia,Pankow,Prenzlauer Berg Nord,52.549797,13.415959,Entire home/apt,84.00,3,220,10,315
125349,623521,Andre,Treptow - Köpenick,Friedrichshagen,52.451054,13.635283,Entire home/apt,70.00,2,26,1,340
83183,453109,Angela L.,Pankow,Prenzlauer Berg Süd,52.536774,13.424469,Entire home/apt,53.00,2,197,2,249
48955,211722,Anne,Pankow,Prenzlauer Berg Südwest,52.536266,13.420813,Entire home/apt,70.00,4,0,1,129
115576,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.581501,13.397859,Entire home/apt,69.00,2,3,1,344
106290,542540,Bart,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.497272,13.431767,Entire home/apt,50.00,1,154,1,315
37004,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.493389,13.364813,Private room,25.00,5,21,1,329
135097,662534,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.500893,13.346918,Entire home/apt,96.00,1,148,1,202
81081,425899,Bernd+Katja :-),Pankow,Prenzlauer Berg Nord,52.549683,13.415277,Entire home/apt,66.00,3,238,1,69
41217,179110,Bn,Pankow,Prenzlauer Berg Südwest,52.536407,13.412311,Private room,43.00,2,70,1,0
52734,112446,Boris,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.511208,13.457278,Entire home/apt,88.00,5,5,1,0
7071,17391,Bright,Pankow,Helmholtzplatz,52.543156,13.415092,Private room,42.00,2,197,1,26
3176,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.534996,13.417579,Entire home/apt,90.00,62,143,1,220
55853,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.503403,13.292026,Entire home/apt,55.00,60,11,1,285
87549,81113,Carol,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.496155,13.373975,Private room,48.00,2,167,1,336
14325,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.547848,13.405562,Entire home/apt,70.00,90,23,3,129
28156,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.546719,13.405117,Entire home/apt,70.00,90,28,3,191
64245,312373,Christian,Pankow,Prenzlauer Berg Nordwest,52.546497,13.406329,Private room,44.00,3,45,2,123
55455,261953,Clara,Mitte,Alexanderplatz,52.521145,13.406083,Entire home/apt,90.00,2,1,1,67
33043,143180,Claudio&Irina,Mitte,Moabit Ost,52.521420,13.357082,Entire home/apt,62.00,3,144,1,343
68142,337021,Dayna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.524895,13.453857,Private room,29.00,2,70,1,58
37836,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.498474,13.440132,Private room,39.00,1,161,2,120
42742,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.496666,13.440340,Private room,36.00,1,25,2,217
24569,99662,Dominik,Pankow,Prenzlauer Berg Südwest,52.530792,13.418084,Entire home/apt,90.00,3,18,2,3
25653,99662,Dominik,Pankow,Prenzlauer Berg Süd,52.530258,13.419467,Entire home/apt,90.00,4,5,2,15
55298,261030,Edna,Tempelhof - Schöneberg,Schöneberg-Nord,52.498379,13.341816,Shared room,88.00,2,0,1,365
28268,121580,Elena,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.513386,13.469948,Entire home/apt,90.00,5,30,1,55
81049,249501,Elfie And  Paul,Mitte,Regierungsviertel,52.521839,13.390672,Entire home/apt,155.00,4,39,1,286
28711,84157,Emanuela,Neukölln,Reuterstraße,52.486107,13.434817,Entire home/apt,60.00,2,1,10,341
145249,703493,Evelyna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.518192,13.461221,Private room,70.00,3,107,1,50
74614,393047,Fatena,Pankow,Prenzlauer Berg Südwest,52.537697,13.408536,Entire home/apt,185.00,4,59,1,359
107968,558933,Frank,Tempelhof - Schöneberg,Schöneberg-Nord,52.498547,13.342940,Entire home/apt,80.00,3,59,1,363
143605,696492,Gaston & Elena,Neukölln,Schillerpromenade,52.476776,13.424372,Entire home/apt,55.00,30,55,1,312
149849,722460,George,Mitte,Alexanderplatz,52.529816,13.402598,Private room,40.00,2,47,1,84
46161,201936,Giorgio,Pankow,Prenzlauer Berg Südwest,52.532543,13.409825,Private room,50.00,4,151,1,0
73302,382638,Hardy,Tempelhof - Schöneberg,Schöneberg-Nord,52.501053,13.350321,Entire home/apt,69.00,3,200,1,178
86514,464827,Hayley,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.498207,13.441779,Private room,80.00,2,44,1,365
46172,206338,Heike,Mitte,Brunnenstr. Süd,52.538090,13.405365,Entire home/apt,48.00,60,38,2,264
36480,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.519676,13.302089,Private room,40.00,1,33,2,297
2015,2217,Ian,Mitte,Brunnenstr. Süd,52.534538,13.402557,Entire home/apt,60.00,4,118,4,141
147946,712973,Jan,Pankow,Prenzlauer Berg Nordwest,52.548550,13.408517,Entire home/apt,31.00,183,39,1,324
3309,4108,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.498856,13.349065,Private room,26.00,5,25,1,297
57792,275784,Jo,Steglitz - Zehlendorf,Ostpreußendamm,52.425308,13.328062,Entire home/apt,49.00,2,3,1,0
91290,382397,Josep,Neukölln,Reuterstraße,52.490040,13.426190,Entire home/apt,60.00,2,44,1,2
40600,174970,Judith,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.488441,13.420600,Private room,50.00,3,50,2,0
114763,582007,Julia,Tempelhof - Schöneberg,Schöneberg-Süd,52.488049,13.353251,Entire home/apt,130.00,3,53,1,140
151249,728298,Julia,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.496780,13.416795,Entire home/apt,81.00,1,10,1,342
128827,632971,Kai,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509483,13.461193,Entire home/apt,59.00,2,16,1,302
58780,281614,Katja,Pankow,Prenzlauer Berg Süd,52.534206,13.426712,Entire home/apt,130.00,5,32,2,211
22415,86068,Kiki,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.494850,13.428500,Entire home/apt,98.00,3,61,2,257
63468,309364,Kreuzberger,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.503597,13.432060,Entire home/apt,52.00,2,89,3,323
47938,218479,Laura,Pankow,Prenzlauer Berg Südwest,52.532192,13.419875,Entire home/apt,160.00,3,35,1,32
106331,551159,Lauri,Pankow,Prenzlauer Berg Süd,52.533703,13.436699,Entire home/apt,82.00,60,91,2,319
43123,188116,Lena,Pankow,Prenzlauer Berg Südwest,52.539463,13.408834,Entire home/apt,90.00,5,65,2,186
59249,188116,Lena,Pankow,Prenzlauer Berg Südwest,52.540890,13.409449,Entire home/apt,90.00,5,76,2,149
83614,456085,Louis,Pankow,Helmholtzplatz,52.546219,13.417857,Entire home/apt,92.00,1,265,2,323
20858,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.536953,13.407615,Entire home/apt,129.00,3,56,1,166
29279,54283,Marine,Pankow,Helmholtzplatz,52.541786,13.423883,Entire home/apt,130.00,60,69,3,221
57049,54283,Marine,Pankow,Prenzlauer Berg Nordwest,52.547867,13.404167,Entire home/apt,200.00,3,81,3,68
17904,68997,Matthias,Neukölln,Reuterstraße,52.495476,13.421822,Entire home/apt,49.00,5,223,1,232
16401,59666,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.510513,13.457850,Private room,120.00,30,0,1,365
2695,2986,Michael,Pankow,Prenzlauer Berg Nordwest,52.548512,13.404552,Private room,17.00,2,6,1,0
60161,898681,Michael,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.378281,13.652751,Entire home/apt,120.00,2,7,4,86
44083,193038,Michaela,Treptow - Köpenick,Alt  Treptow,52.490402,13.440845,Private room,42.00,3,11,1,65
121888,611847,Michel,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.518177,13.463996,Entire home/apt,125.00,7,5,1,0
30295,485838,Michele,Pankow,Helmholtzplatz,52.545967,13.422359,Entire home/apt,100.00,4,240,4,296
89102,485838,Michele,Pankow,Prenzlauer Berg Südwest,52.540527,13.409949,Entire home/apt,114.00,10,57,4,109
109658,565578,Miriam,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.524265,13.452067,Entire home/apt,60.00,3,68,1,236
64590,315681,Mirjam,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.494972,13.423991,Entire home/apt,102.00,2,34,1,0
83568,455670,Olaf,Pankow,Helmholtzplatz,52.544849,13.418910,Entire home/apt,70.00,3,2,1,139
38296,164310,Oliver,Neukölln,Schillerpromenade,52.485863,13.423619,Entire home/apt,80.00,10,6,1,310
80843,437628,Oliver,Charlottenburg-Wilm.,Schmargendorf,52.480865,13.289982,Entire home/apt,49.00,2,69,1,28
116832,590130,Oliver,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.490944,13.396194,Entire home/apt,75.00,14,3,1,310
72079,261488,P. Charlotte,Charlottenburg-Wilm.,Kantstraße,52.507805,13.318707,Entire home/apt,80.00,3,37,2,349
9991,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.533031,13.416047,Entire home/apt,180.00,6,6,1,137
138955,677988,Pigi,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.490974,13.376910,Entire home/apt,75.00,2,191,1,0
117649,594164,Ralph&Maria,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.500042,13.442649,Entire home/apt,68.00,60,84,1,266
22677,87357,Ramfis,Mitte,Brunnenstr. Süd,52.534348,13.405577,Entire home/apt,160.00,3,223,1,228
16644,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.504791,13.435102,Entire home/apt,90.00,60,48,2,159
21869,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.502735,13.434620,Entire home/apt,70.00,60,60,2,129
37052,149093,Rob,Mitte,Brunnenstr. Süd,52.538219,13.404625,Entire home/apt,52.00,2,307,2,25
44423,194957,Robert,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.508884,13.456361,Private room,56.00,2,101,1,32
82893,451311,Ruth,Mitte,Brunnenstr. Süd,52.532001,13.382848,Entire home/apt,70.00,3,71,3,225
85560,451311,Ruth,Mitte,Brunnenstr. Süd,52.531815,13.382299,Entire home/apt,75.00,3,47,3,328
111579,570951,S. Kjel,Mitte,Alexanderplatz,52.527203,13.409528,Entire home/apt,70.00,4,114,2,194
41306,179872,Sebastian,Pankow,Prenzlauer Berg Süd,52.530281,13.423478,Private room,40.00,1,1,1,0
102882,86173,Sebastian,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.488785,13.421956,Entire home/apt,506.00,3,112,2,0
63052,307513,Shoshik,Neukölln,Neuköllner Mitte/Zentrum,52.468922,13.434541,Private room,37.00,6,96,2,347
139769,681637,Stefano,Mitte,Alexanderplatz,52.528107,13.391946,Private room,55.00,2,226,1,322
127708,632174,Stéphanie,Mitte,Alexanderplatz,52.519650,13.410990,Entire home/apt,89.00,2,443,5,295
23834,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.489716,13.379747,Entire home/apt,65.00,60,96,1,275
26543,112675,Terri,Pankow,Helmholtzplatz,52.544064,13.421376,Entire home/apt,197.00,3,163,1,336
31440,135046,Thomas,Pankow,Helmholtzplatz,52.543091,13.422453,Private room,44.00,1,28,1,361
35642,153252,Thorsten,Pankow,Prenzlauer Berg Nord,52.549362,13.418227,Entire home/apt,55.00,60,1,1,89
42809,186851,Tina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.511761,13.455361,Entire home/apt,119.00,4,109,1,285
54952,258697,Trent,Mitte,Alexanderplatz,52.523594,13.387406,Private room,55.00,4,156,1,33
58041,145808,Veronika,Mitte,Alexanderplatz,52.527710,13.390903,Entire home/apt,55.00,90,72,1,352
57209,272286,Vilius,Mitte,Brunnenstr. Süd,52.536831,13.398967,Entire home/apt,80.00,3,160,1,264
17409,67590,Wolfram,Pankow,Prenzlauer Berg Südwest,52.529072,13.412844,Private room,45.00,3,279,1,42
